"node","x","y"
267,-121.50695028052,38.13325520794
249,-121.4910424596,38.10450183441
268,-121.49736457307,38.11631691504
269,-121.51518411319,38.12256190176
287,-121.55940691679,38.14373891584
270,-121.55134173601,38.11674978222
294,-121.58680406266,38.14717130742
295,-121.60063390901,38.14503796597
271,-121.57333233134,38.13093279457
351,-121.68914050652,38.14395273565
352,-121.7088848816,38.10954024582
240,-121.68313083056,38.11449143102
43,-121.68115264335,38.08284763413
42,-121.64165015547,38.08777218505
41,-121.61310276816,38.10288901238
272,-121.57936510577,38.11027937613
356,-121.88564807112,38.04707995908
354,-121.80048361012,38.05820070562
353,-121.74042993718,38.08556681239
221,-121.6752169652,38.03872128071
223,-121.68318399307,38.01359332698
45,-121.73194307902,38.02823303467
44,-121.68151934574,38.0602803548
226,-121.64770661888,38.05586886289
220,-121.65205290471,38.0471691468
222,-121.6405183798,38.01241340434
215,-121.62361075756,37.99555469302
218,-121.62845407931,38.00846260182
217,-121.61617169747,38.01120609345
216,-121.60649195475,38.0190274894
219,-121.62193731146,38.03489021197
225,-121.62857834272,38.04984496352
224,-121.60149864658,38.06133515383
208,-121.55344352152,38.01186089023
94,-121.58084962511,37.9844843597
97,-121.57922494084,37.99875447457
98,-121.56786987388,38.00274503728
99,-121.57963940251,38.00719312426
100,-121.55759327651,38.01886280601
102,-121.58393118829,38.03054681724
101,-121.57306218385,38.04275508574
232,-121.58135858943,38.04855082474
103,-121.582157588,38.05967779264
36,-121.53313655718,38.06780197688
37,-121.55056517278,38.05876152679
38,-121.56929828732,38.07544265602
40,-121.57685920995,38.09667988136
39,-121.57256770864,38.08308258896
252,-121.53991400933,38.0846519094
246,-121.41727560975,38.08417480512
247,-121.45870477776,38.06856391795
248,-121.46978515782,38.08179346141
250,-121.49323769871,38.09365792084
251,-121.51878901837,38.08811696912
245,-121.50204751936,38.07174285538
134,-121.52686675006,38.04351679244
35,-121.53388195371,38.0552291526
34,-121.51705496871,38.05389778818
33,-121.4969742262,38.04220292616
31,-121.49096328648,38.0296854088
30,-121.47197524397,38.02738094157
32,-121.48979331761,38.03803188006
244,-121.48085322436,38.03965569784
243,-121.45950608269,38.05181736577
242,-121.41977228689,38.04364436349
241,-121.38366805019,38.01405884985
25,-121.4333913221,37.99335175216
29,-121.45773238659,38.01254235598
27,-121.44134553791,38.00850824503
28,-121.46131309873,38.00519133927
26,-121.44586237995,37.99838521709
140,-121.4564840663,37.99047838563
141,-121.46878679914,37.98461046474
207,-121.53656655681,38.00554394523
133,-121.51725016453,38.02167067612
132,-121.51663830949,38.01059790425
131,-121.50883166788,38.00945514495
127,-121.52780992845,37.99019654201
128,-121.52515229497,37.99795487401
129,-121.52070408767,38.00196444835
130,-121.51129483921,38.00202601593
137,-121.50580700732,37.99349628866
136,-121.51115052599,37.99055627438
135,-121.51697644616,37.98240450986
126,-121.53462220187,37.98038235418
146,-121.43152265014,37.93517232833
147,-121.45164259603,37.95287537839
148,-121.46618187646,37.96379196491
142,-121.47450217294,37.97143612444
143,-121.49011028272,37.9715325314
144,-121.50672789326,37.97168301453
145,-121.52339691257,37.97158488219
125,-121.53562049953,37.97000400388
124,-121.53178871848,37.96149670098
123,-121.5241849878,37.94814162814
122,-121.53453438741,37.94761006378
88,-121.56781271723,37.94927025079
89,-121.56319501498,37.95461203195
