chan_no,length,manning,dispersion,upnode,downnode
362,10733,0.028,360,285,286
363,6133,0.028,360,286,287
364,7126,0.028,360,287,271
365,3940,0.028,360,342,255
366,6324,0.028,360,343,288
367,4221,0.028,360,288,289
368,6610,0.028,360,289,290
369,8772,0.028,360,290,291
370,7738,0.028,360,291,292
371,7766,0.028,360,292,293
372,8624,0.028,360,293,294
373,9831,0.028,360,294,295
374,6080,0.028,360,295,271
375,14000,0.025,360,296,297
376,12000,0.025,360,297,298
377,11397,0.025,360,298,299
378,20000,0.025,360,299,300
379,3300,0.025,360,339,300
380,9200,0.025,360,300,301
381,10454,0.025,360,301,302
382,12340,0.031,360,302,304
383,12528,0.029,360,340,303
384,10577,0.029,360,303,304
385,8928,0.031,360,304,305
386,15694,0.031,360,305,306
387,11358,0.031,360,306,350
388,12307,0.036,360,302,307
389,8822,0.036,360,307,308
390,18016,0.036,360,308,316
391,19781,0.022,360,309,310
392,23897,0.022,360,310,311
393,15515,0.022,360,311,312
394,21261,0.022,360,312,313
395,16091,0.022,360,313,314
396,24303,0.022,360,314,315
397,14831,0.022,360,315,316
398,21353,0.024,360,316,350
399,17100,0.022,360,317,318
400,6300,0.022,360,318,323
401,25700,0.022,360,319,321
402,14600,0.022,360,320,321
403,6200,0.022,360,321,322
404,2600,0.022,360,322,323
405,4000,0.022,360,323,316
406,8900,0.022,360,273,324
407,7700,0.022,360,324,325
408,7500,0.022,360,325,326
409,14100,0.022,360,326,322
410,14047,0.028,360,330,331
411,18620,0.028,360,331,332
412,17340,0.028,360,332,333
413,11828,0.028,360,333,334
414,24177,0.028,360,334,335
415,6300,0.028,360,335,336
416,25418,0.028,360,336,337
417,6133,0.028,360,337,338
418,13562,0.028,360,338,339
419,8273,0.03,360,339,340
420,14774,0.03,360,340,341
421,13209,0.03,360,341,342
422,5317,0.03,360,342,343
423,11655,0.031,360,343,344
424,14165,0.031,360,344,346
426,8874,0.031,360,346,347
427,11465,0.031,360,347,348
428,8769,0.031,360,348,349
429,8661,0.031,360,349,350
430,13931,0.019,60,350,351
431,13783,0.019,60,351,352
432,15812,0.019,240,352,353
433,12134,0.019,240,352,353
434,20141,0.019,720,353,354
435,10827,0.019,720,354,355
436,7094,0.019,350,355,464
437,20200,0.022,940,356,357
438,12100,0.022,940,362,358
439,10200,0.022,1530,358,359
440,14800,0.022,1530,359,360
441,5398,0.022,1800,360,361
442,10700,0.022,1800,356,328
443,11500,0.022,940,357,362
444,12631,0.022,1800,227,329
445,9098,0.022,1800,329,366
447,10900,0.022,1800,238,363
448,8200,0.022,1800,363,365
449,7000,0.021,2400,364,365
450,10000,0.022,1800,238,227
451,15800,0.022,2400,365,367
452,9000,0.022,1530,358,359
453,14428,0.022,1800,366,367
454,12200,0.022,2400,367,360
455,3000,0.021,1200,369,370
456,10200,0.021,1200,370,379
457,15600,0.021,1200,396,389
458,8189,0.021,1200,368,371
459,3546,0.021,1800,371,372
460,11456,0.021,1200,372,373
461,10929,0.021,1800,373,374
